id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUSq,fileID
4291,15,Glonass,28.1,-0.57,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4292,19,Glonass,17.5,-0.57,272,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4293,17,Glonass,16.2,-0.57,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4294,3,Glonass,29.4,-0.57,116,11,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4295,2,GPS,19.9,-0.53,43,33,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4296,5,GPS,19.8,-0.53,94,37,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4297,12,GPS,32.6,-0.53,127,43,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4298,21,GPS,31,-0.53,227,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4299,24,GPS,25.1,-0.53,175,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4300,25,GPS,15.6,-0.53,54,87,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4301,29,GPS,18.1,-0.53,319,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4302,31,GPS,22.3,-0.53,298,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4303,5,Beidou,25.9,-0.13,149,47,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4304,8,Beidou,16.7,-0.13,46,10,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4305,13,Beidou,13.5,-0.13,43,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4306,16,Beidou,17,-0.13,102,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4307,1,Galileo,25.7,-0.52,180,60,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4308,12,Galileo,22.5,-0.52,247,18,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4309,24,Galileo,19.9,-0.52,323,5,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4310,26,Galileo,13.1,-0.52,37,46,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4311,18,Glonass,20.7,-0.41,350,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4312,9,Glonass,20.7,-0.41,327,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4313,15,Glonass,28.2,-0.41,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4314,19,Glonass,16.2,-0.41,272,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4315,17,Glonass,16.1,-0.41,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4316,3,Glonass,27.8,-0.41,116,11,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4317,2,GPS,19.1,-0.44,43,33,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4318,5,GPS,19.3,-0.44,94,37,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4319,12,GPS,33.3,-0.44,127,43,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4320,21,GPS,30.6,-0.44,227,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4321,24,GPS,25.4,-0.44,175,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4322,25,GPS,14.5,-0.44,54,87,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4323,29,GPS,18.6,-0.44,319,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4324,31,GPS,23,-0.44,298,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4325,5,Beidou,25.9,-0.13,149,47,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4326,8,Beidou,14,-0.13,46,10,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4327,13,Beidou,13.5,-0.13,43,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4328,16,Beidou,15,-0.13,102,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4329,1,Galileo,25,-0.46,180,60,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4330,12,Galileo,22,-0.46,247,18,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4331,24,Galileo,15.8,-0.46,323,5,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4332,26,Galileo,13.1,-0.46,37,46,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4333,18,Glonass,19.7,-0.56,350,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4334,9,Glonass,20.7,-0.56,327,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4335,15,Glonass,27.6,-0.56,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4336,19,Glonass,16.2,-0.56,272,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4337,17,Glonass,16.1,-0.56,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4338,3,Glonass,22,-0.56,116,11,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4339,2,GPS,17.2,-0.44,43,33,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4340,5,GPS,21.9,-0.44,94,37,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4341,12,GPS,32.2,-0.44,127,43,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4342,21,GPS,30.4,-0.44,227,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4343,24,GPS,22.7,-0.44,175,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4344,25,GPS,17,-0.44,54,87,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4345,29,GPS,18.6,-0.44,319,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4346,31,GPS,25.3,-0.44,298,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4347,5,Beidou,24.6,-0.21,149,47,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4348,8,Beidou,14,-0.21,46,10,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4349,13,Beidou,13.5,-0.21,43,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4350,16,Beidou,15,-0.21,102,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4351,1,Galileo,24.7,-0.46,180,60,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
