id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,,,,,,
76,25,GPS,34.9,0.56,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
77,29,GPS,37.6,0.56,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
78,31,GPS,35.8,0.56,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
79,10,Glonass,29.1,-0.88,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
80,6,Glonass,17.5,-0.88,88,7,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
81,22,Glonass,36.8,-0.88,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
82,13,Glonass,20.1,-0.88,331,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
83,12,Glonass,36.8,-0.88,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
84,11,Glonass,35.7,-0.88,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
85,5,Glonass,22.8,-0.88,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
86,23,Glonass,28.1,-0.88,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
87,21,Glonass,32.3,-0.88,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
88,2,GPS,37.1,0.61,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
89,5,GPS,40.6,0.61,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
90,6,GPS,20.4,0.61,39,4,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
91,12,GPS,37.9,0.61,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
92,21,GPS,25,0.61,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
93,24,GPS,38.4,0.61,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
94,25,GPS,42.5,0.61,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
95,29,GPS,39.9,0.61,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
96,31,GPS,36.3,0.61,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
97,10,Glonass,24.6,-0.93,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
98,6,Glonass,17.5,-0.93,88,7,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
99,22,Glonass,39.2,-0.93,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
