id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72
13875,9,Glonass,26.3,0.55,236,22,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13876,11,Glonass,29.7,0.55,337,2,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13877,5,Glonass,28.4,0.55,163,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13878,20,Glonass,28.8,0.55,319,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13879,19,Glonass,24.8,0.55,37,47,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13880,3,Glonass,24.8,0.55,32,19,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13881,4,Glonass,33.8,0.55,90,54,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13882,5,GPS,24.7,-0.46,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13883,10,GPS,31.7,-0.46,203,29,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13884,13,GPS,23.7,-0.46,64,9,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13885,15,GPS,31.2,-0.46,102,23,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13886,16,GPS,20.7,-0.46,307,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13887,20,GPS,29.4,-0.46,199,58,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13888,21,GPS,29,-0.46,338,66,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13889,25,GPS,25.5,-0.46,167,11,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13890,26,GPS,29,-0.46,274,49,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13891,27,GPS,21.6,-0.46,306,5,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13892,29,GPS,31.9,-0.46,98,46,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13893,31,GPS,14.2,-0.46,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13894,5,Beidou,28.5,-0.52,149,47,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13895,8,Beidou,13.1,-0.52,80,1,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13896,13,Beidou,25.4,-0.52,70,24,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13897,16,Beidou,24.6,-0.52,80,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13898,27,Beidou,35.9,-0.52,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13899,12,Galileo,17.7,-0.56,314,50,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13900,19,Galileo,17.3,-0.56,139,37,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13901,24,Galileo,21.8,-0.56,277,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13902,25,Galileo,14.3,-0.56,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13903,31,Galileo,26.5,-0.56,215,27,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13904,10,Glonass,23,0.55,291,26,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13905,18,Glonass,27.4,0.55,85,14,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13906,9,Glonass,26.3,0.55,236,22,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13907,11,Glonass,31.4,0.55,337,2,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13908,5,Glonass,24.9,0.55,163,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13909,20,Glonass,22.9,0.55,319,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13910,19,Glonass,23.9,0.55,37,47,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13911,3,Glonass,29.9,0.55,32,19,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13912,4,Glonass,32.7,0.55,90,54,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13913,5,GPS,30.9,-0.46,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13914,10,GPS,30.7,-0.46,203,29,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13915,13,GPS,25.1,-0.46,64,9,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13916,15,GPS,37,-0.46,102,23,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13917,16,GPS,24.3,-0.46,307,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13918,20,GPS,35.9,-0.46,199,58,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13919,21,GPS,25.8,-0.46,338,66,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13920,25,GPS,31.9,-0.46,167,11,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13921,26,GPS,34,-0.46,274,49,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13922,27,GPS,21.6,-0.46,306,5,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13923,29,GPS,32.2,-0.46,98,46,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13924,31,GPS,14.2,-0.46,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13925,10,Glonass,29,0.55,291,26,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13926,9,Glonass,23.8,0.55,236,22,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13927,11,Glonass,28.2,0.55,337,2,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13928,5,Glonass,27.1,0.55,163,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13929,3,Glonass,29.9,0.55,32,19,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13930,4,Glonass,32.2,0.55,90,54,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13931,10,GPS,29,-0.46,203,29,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13932,15,GPS,34,-0.46,102,23,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13933,16,GPS,22.8,-0.46,307,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13934,20,GPS,36.9,-0.46,199,58,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13935,21,GPS,28.4,-0.46,338,66,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13936,25,GPS,31.8,-0.46,167,11,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13937,26,GPS,25.9,-0.46,274,49,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13938,27,GPS,26.3,-0.46,306,5,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13939,29,GPS,30.8,-0.46,98,46,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13940,31,GPS,23.6,-0.46,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13941,18,Glonass,24.6,0.55,85,14,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13942,9,Glonass,25.4,0.55,236,22,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13943,5,Glonass,36.8,0.55,163,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13944,4,Glonass,29.8,0.55,90,54,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13945,5,GPS,24.5,-0.46,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13946,10,GPS,24.2,-0.46,203,29,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13947,15,GPS,29,-0.46,102,23,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13948,20,GPS,31.3,-0.46,199,58,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13949,21,GPS,31.7,-0.46,338,66,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13950,25,GPS,28.4,-0.46,167,11,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
